Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
73330,40593579,TicketNetwork,Jeff Dunham,Moody Center ATX,2023-01-12 19:00:00,108,E,4,7,4,2023-01-07 07:13:00,100.0,56.05,400.0,224.2,-175.8,0.0,78.41,0,0
73424,510907537,VGG,Bruce Springsteen & The E Street Band,Moody Center ATX,2023-02-16 19:30:00,102,S,9,10,2,2023-01-13 14:42:00,255.0,277.3,510.0,554.6,44.6,8.75,8.04,0,0
91360,56615511,VividSeats,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-27 13:45:00,108,A,13,13,1,2023-08-22 22:28:00,150.0,94.86,150.0,94.86,-55.14,0.0,58.13,0,0
81463,516086686,VGG,Luis Miguel,Moody Center ATX,2023-11-05 19:00:00,106,C,3,4,2,2023-05-11 13:11:00,225.0,563.06,450.0,1126.12,676.12,150.25,60.04,0,0
79117,gp1gs7v7l6m,SeatGeek,Rauw Alejandro,Moody Center ATX,2023-04-16 19:00:00,108,D,3,3,1,2023-04-15 22:41:00,125.0,139.2,125.0,139.2,14.2,11.36,10.2,0,0
90811,521047935,VGG,Stevie Nicks,Moody Center ATX,2023-08-15 19:00:00,120,BAR,7,8,2,2023-08-15 16:47:00,200.0,140.06,400.0,280.12,-119.88,0.0,42.8,0,0
91661,56750628,VividSeats,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-27 13:45:00,108,D,13,14,2,2023-08-26 15:42:00,200.0,34.41,400.0,68.82,-331.18,0.0,481.23,0,0
87718,519974431,VGG,Lil Baby,Moody Center ATX,2023-07-28 19:00:00,108,D,1,3,3,2023-07-27 19:10:00,200.0,117.5,600.0,352.5,-247.5,0.0,70.21,0,0
91675,,Business Development,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-27 13:45:00,107,D,3,5,3,2023-08-26 18:12:00,150.0,0.0,450.0,0.0,-450.0,0.0,0.0,0,0
84024,5VSQLNXSCS,Gametime,Drake and 21 Savage,Moody Center ATX,2023-09-11 20:00:00,120,T,9,11,3,2023-06-10 19:31:00,266.5,312.55,799.5,937.65,138.15,17.28,14.73,0,0
85692,518733395,VGG,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-26 18:45:00,107,A,13,14,2,2023-07-03 19:16:00,150.0,158.86,300.0,317.72,17.72,5.91,5.58,0,0
91551,56710430,VividSeats,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-26 18:45:00,107,B,15,16,2,2023-08-25 16:56:00,150.0,81.84,300.0,163.68,-136.32,0.0,83.28,0,0
87660,55712701,VividSeats,Lil Baby,Moody Center ATX,2023-07-28 19:00:00,108,D,17,18,2,2023-07-27 02:02:00,200.0,119.97,400.0,239.94,-160.06,0.0,66.71,0,0
84466,517858004,VGG,Logic,Moody Center ATX,2023-06-15 20:00:00,108,D,11,12,2,2023-06-15 19:09:00,150.0,14.1,300.0,28.2,-271.8,0.0,963.83,0,0
82112,dgoxu935m69,SeatGeek,The Impractical Jokers,Moody Center ATX,2023-05-20 19:30:00,108,D,11,13,3,2023-05-17 17:12:00,100.0,56.64,300.0,169.92,-130.08,0.0,76.55,0,0
73599,511163774,VGG,Harlem Globetrotters,Moody Center ATX,2023-02-10 19:00:00,108,D,8,11,4,2023-01-21 10:04:00,100.0,51.7,400.0,206.8,-193.2,0.0,93.42,0,0
73244,510551753,VGG,Jeff Dunham,Moody Center ATX,2023-01-12 19:00:00,108,D,7,10,4,2023-01-01 17:32:00,100.0,70.5,400.0,282.0,-118.0,0.0,41.84,0,0
83741,neymalw5ql9,SeatGeek,Duran Duran,Moody Center ATX,2023-06-06 19:00:00,108,D,8,9,2,2023-06-06 12:39:00,150.0,91.2,300.0,182.4,-117.6,0.0,64.47,0,0
84454,VZ0EYXOGMU,Gametime,Logic,Moody Center ATX,2023-06-15 20:00:00,108,E,7,9,3,2023-06-15 18:26:00,150.0,14.25,450.0,42.75,-407.25,0.0,952.63,0,0
91545,43347010,TicketNetwork,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-26 18:45:00,108,A,1,2,2,2023-08-25 16:12:00,200.0,92.0,400.0,184.0,-216.0,0.0,117.39,0,0
94004,K0B3MAGJT0,Gametime,Nickelback,Moody Center ATX,2023-09-23 18:30:00,108,D,15,16,2,2023-09-23 16:51:00,200.0,52.25,400.0,104.5,-295.5,0.0,282.78,0,0
90749,,Chris Perez,Foreigner,Moody Center ATX,2023-08-14 19:00:00,108,D,9,10,2,2023-08-14 16:53:00,200.0,50.0,400.0,100.0,-300.0,0.0,300.0,0,0
83138,09vwfm2moro,SeatGeek,Billy Strings,Moody Center ATX,2023-06-03 20:00:00,108,C,7,8,2,2023-05-30 20:20:00,100.0,27.84,200.0,55.68,-144.32,0.0,259.2,0,0
74542,17vrbr811x0,SeatGeek,Banda MS,Moody Center ATX,2023-02-24 20:00:00,108,A,7,8,2,2023-02-20 20:11:00,100.0,114.24,200.0,228.48,28.48,14.24,12.46,0,0
86980,vm2ls8r071n,SeatGeek,Dave Chappelle,Moody Center ATX,2023-07-15 19:30:00,107,BAR,5,6,2,2023-07-15 16:45:00,200.0,335.04,400.0,670.08,270.08,67.52,40.31,0,0
86589,519119381,VGG,Dave Chappelle,Moody Center ATX,2023-07-15 19:30:00,106,A,1,2,2,2023-07-11 20:50:00,200.0,375.06,400.0,750.12,350.12,87.53,46.68,0,0
74106,2079f3e7e5y,SeatGeek,Muse: Will Of The People Tour,Moody Center ATX,2023-02-28 18:30:00,106,C,3,4,2,2023-02-10 08:18:00,150.0,287.04,300.0,574.08,274.08,91.36,47.74,0,0
