Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
91748,56782121,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/27/2023 03:02 PM,$ 50.00,$ 62.31,$ 50.00,$ 62.31,$ 12.31,24.62,19.76,$ 0.00,$ 0.00
91538,56705132,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,Friday,0,0,2,8/25/2023 03:10 PM,$ 50.00,$ 72.54,$ 100.00,$ 145.08,$ 45.08,45.08,31.07,$ 0.00,$ 0.00
91373,521449851,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/23/2023 11:21 AM,$ 50.00,$ 79.90,$ 50.00,$ 79.90,$ 29.90,59.80,37.42,$ 0.00,$ 0.00
91394,521462813,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,2,8/23/2023 03:40 PM,$ 50.00,$ 79.90,$ 100.00,$ 159.80,$ 59.80,59.80,37.42,$ 0.00,$ 0.00
91598,521611070,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/26/2023 08:54 AM,$ 50.00,$ 79.90,$ 50.00,$ 79.90,$ 29.90,59.80,37.42,$ 0.00,$ 0.00
90711,520957261,VGG,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/13/2023 07:26 PM,$ 50.00,$ 121.26,$ 50.00,$ 121.26,$ 71.26,142.52,58.77,$ 0.00,$ 0.00
91663,56750843,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,1,8/26/2023 03:46 PM,$ 50.00,$ 66.96,$ 50.00,$ 66.96,$ 16.96,33.92,25.33,$ 0.00,$ 0.00
91667,56752683,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,3,8/26/2023 04:23 PM,$ 50.00,$ 66.96,$ 150.00,$ 200.88,$ 50.88,33.92,25.33,$ 0.00,$ 0.00
91524,82371256,VGG,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,3,8/25/2023 12:13 PM,$ 50.00,$ 89.04,$ 150.00,$ 267.12,$ 117.12,78.08,43.85,$ 0.00,$ 0.00
91491,521546754,VGG,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/25/2023 09:43 AM,$ 50.00,$ 89.30,$ 50.00,$ 89.30,$ 39.30,78.60,44.01,$ 0.00,$ 0.00
91626,56742620,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,2,8/26/2023 01:03 PM,$ 50.00,$ 68.82,$ 100.00,$ 137.64,$ 37.64,37.64,27.35,$ 0.00,$ 0.00
91746,56780920,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/27/2023 02:26 PM,$ 50.00,$ 62.31,$ 50.00,$ 62.31,$ 12.31,24.62,19.76,$ 0.00,$ 0.00
91477,56684296,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,VIP,Saturday,0,0,1,8/25/2023 07:43 AM,$ 100.00,$ 186.93,$ 100.00,$ 186.93,$ 86.93,86.93,46.50,$ 0.00,$ 0.00
91510,82422398,VGG,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/25/2023 11:25 AM,$ 50.00,$ 92.79,$ 50.00,$ 92.79,$ 42.79,85.58,46.11,$ 0.00,$ 0.00
91623,521623442,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/26/2023 12:11 PM,$ 50.00,$ 74.26,$ 50.00,$ 74.26,$ 24.26,48.52,32.67,$ 0.00,$ 0.00
91338,521415123,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,2,8/22/2023 03:55 PM,$ 50.00,$ 89.30,$ 100.00,$ 178.60,$ 78.60,78.60,44.01,$ 0.00,$ 0.00
91493,521547102,VGG,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,3,8/25/2023 09:48 AM,$ 50.00,$ 74.26,$ 150.00,$ 222.78,$ 72.78,48.52,32.67,$ 0.00,$ 0.00
91755,56783076,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/27/2023 03:30 PM,$ 50.00,$ 62.31,$ 50.00,$ 62.31,$ 12.31,24.62,19.76,$ 0.00,$ 0.00
91398,56633821,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,VIP,Sunday,0,0,1,8/23/2023 04:13 PM,$ 100.00,$ 190.65,$ 100.00,$ 190.65,$ 90.65,90.65,47.55,$ 0.00,$ 0.00
90808,56372146,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/15/2023 04:25 PM,$ 50.00,$ 123.69,$ 50.00,$ 123.69,$ 73.69,147.38,59.58,$ 0.00,$ 0.00
91758,56783441,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/27/2023 03:43 PM,$ 50.00,$ 62.31,$ 50.00,$ 62.31,$ 12.31,24.62,19.76,$ 0.00,$ 0.00
91680,521652802,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,5,8/26/2023 07:18 PM,$ 50.00,$ 61.10,$ 250.00,$ 305.50,$ 55.50,22.20,18.17,$ 0.00,$ 0.00
91129,56509742,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/19/2023 01:41 PM,$ 50.00,$ 94.86,$ 50.00,$ 94.86,$ 44.86,89.72,47.29,$ 0.00,$ 0.00
91767,56785465,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/27/2023 04:44 PM,$ 50.00,$ 62.31,$ 50.00,$ 62.31,$ 12.31,24.62,19.76,$ 0.00,$ 0.00
