Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
94772,523842774,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-10-05 11:04:00,163.22,187.06,163.22,187.06,23.84,14.61,12.74,0,0
93607,522899553,VGG,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,2,2023-09-17 16:45:00,327.33,422.06,654.66,844.12,189.46,28.94,22.44,0,0
93027,57396241,VividSeats,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2023-09-14 10:38:00,163.22,286.44,326.44,572.88,246.44,75.49,43.02,0,0
92223,522086999,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-09-03 12:44:00,163.22,187.06,163.22,187.06,23.84,14.61,12.74,0,0
93737,522992544,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-09-19 15:18:00,163.22,177.66,326.44,355.32,28.88,8.85,8.13,0,0
95399,523955756,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-10-07 11:36:00,163.22,243.46,163.22,243.46,80.24,49.16,32.96,0,0
93651,,Ripproar,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,12,2023-09-18 11:46:00,375.0,456.58,4500.0,5478.96,978.96,21.75,17.87,0,0
95215,523919808,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-10-06 17:27:00,163.22,211.5,163.22,211.5,48.28,29.58,22.83,0,0
93490,522876471,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,2,2023-09-17 10:02:00,163.22,271.66,326.44,543.32,216.88,66.44,39.92,0,0
94928,q9r5f9rk219,SeatGeek,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,1,2023-10-05 20:59:00,327.33,403.2,327.33,403.2,75.87,23.18,18.82,0,0
94625,523742765,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-10-03 10:37:00,170.0,169.2,340.0,338.4,-1.6,0.0,0.47,0,0
95432,523956665,VGG,"Austin City Limits Festival - Weekend One - Sunday Only (Mumford & Sons, Odesza, Hozier and more)",Zilker Park,2023-10-08 12:00:00,General Admission,Sunday,0,0,2,2023-10-07 12:34:00,163.22,220.9,326.44,441.8,115.36,35.34,26.11,0,0
